X,Y,Cluster
15.000,39.000,2
15.000,81.000,3
16.000,6.000,2
16.000,77.000,3
17.000,40.000,2
17.000,76.000,3
18.000,6.000,2
18.000,94.000,3
19.000,3.000,2
19.000,72.000,3
19.000,14.000,2
19.000,99.000,3
20.000,15.000,2
20.000,77.000,3
20.000,13.000,2
20.000,79.000,3
21.000,35.000,2
21.000,66.000,3
23.000,29.000,2
23.000,98.000,3
24.000,35.000,2
24.000,73.000,3
25.000,5.000,2
25.000,73.000,3
28.000,14.000,2
28.000,82.000,3
28.000,32.000,2
28.000,61.000,3
29.000,31.000,2
29.000,87.000,3
30.000,4.000,2
30.000,73.000,3
33.000,4.000,2
33.000,92.000,3
33.000,14.000,2
33.000,81.000,3
34.000,17.000,2
34.000,73.000,3
37.000,26.000,2
37.000,75.000,3
38.000,35.000,0
38.000,92.000,3
39.000,36.000,0
39.000,61.000,3
39.000,28.000,2
39.000,65.000,3
40.000,55.000,3
40.000,47.000,0
40.000,42.000,0
40.000,42.000,0
42.000,52.000,0
42.000,60.000,3
43.000,54.000,0
43.000,60.000,3
43.000,45.000,0
43.000,41.000,0
44.000,50.000,0
44.000,46.000,0
46.000,51.000,0
46.000,46.000,0
46.000,56.000,0
46.000,55.000,0
47.000,52.000,0
47.000,59.000,0
48.000,51.000,0
48.000,59.000,0
48.000,50.000,0
48.000,48.000,0
48.000,59.000,0
48.000,47.000,0
49.000,55.000,0
49.000,42.000,0
50.000,49.000,0
50.000,56.000,0
54.000,47.000,0
54.000,54.000,0
54.000,53.000,0
54.000,48.000,0
54.000,52.000,0
54.000,42.000,0
54.000,51.000,0
54.000,55.000,0
54.000,41.000,0
54.000,44.000,0
54.000,57.000,0
54.000,46.000,0
57.000,58.000,0
57.000,55.000,0
58.000,60.000,0
58.000,46.000,0
59.000,55.000,0
59.000,41.000,0
60.000,49.000,0
60.000,40.000,0
60.000,42.000,0
60.000,52.000,0
60.000,47.000,0
60.000,50.000,0
61.000,42.000,0
61.000,49.000,0
62.000,41.000,0
62.000,48.000,0
62.000,59.000,0
62.000,55.000,0
62.000,56.000,0
62.000,42.000,0
63.000,50.000,0
63.000,46.000,0
63.000,43.000,0
63.000,48.000,0
63.000,52.000,0
63.000,54.000,0
64.000,42.000,0
64.000,46.000,0
65.000,48.000,0
65.000,50.000,0
65.000,43.000,0
65.000,59.000,0
67.000,43.000,0
67.000,57.000,0
67.000,56.000,0
67.000,40.000,0
69.000,58.000,0
69.000,91.000,4
70.000,29.000,1
70.000,77.000,4
71.000,35.000,0
71.000,95.000,4
71.000,11.000,1
71.000,75.000,4
71.000,9.000,1
71.000,75.000,4
72.000,34.000,0
72.000,71.000,4
73.000,5.000,1
73.000,88.000,4
73.000,7.000,1
73.000,73.000,4
74.000,10.000,1
74.000,72.000,4
75.000,5.000,1
75.000,93.000,4
76.000,40.000,0
76.000,87.000,4
77.000,12.000,1
77.000,97.000,4
77.000,36.000,1
77.000,74.000,4
78.000,22.000,1
78.000,90.000,4
78.000,17.000,1
78.000,88.000,4
78.000,20.000,1
78.000,76.000,4
78.000,16.000,1
78.000,89.000,4
78.000,1.000,1
78.000,78.000,4
78.000,1.000,1
78.000,73.000,4
79.000,35.000,1
79.000,83.000,4
81.000,5.000,1
81.000,93.000,4
85.000,26.000,1
85.000,75.000,4
86.000,20.000,1
86.000,95.000,4
87.000,27.000,1
87.000,63.000,4
87.000,13.000,1
87.000,75.000,4
87.000,10.000,1
87.000,92.000,4
88.000,13.000,1
88.000,86.000,4
88.000,15.000,1
88.000,69.000,4
93.000,14.000,1
93.000,90.000,4
97.000,32.000,1
97.000,86.000,4
98.000,15.000,1
98.000,88.000,4
99.000,39.000,0
99.000,97.000,4
101.000,24.000,1
101.000,68.000,4
103.000,17.000,1
103.000,85.000,4
103.000,23.000,1
103.000,69.000,4
113.000,8.000,1
113.000,91.000,4
120.000,16.000,1
120.000,79.000,4
126.000,28.000,1
126.000,74.000,4
137.000,18.000,1
137.000,83.000,4
